
Namespace                         ResourceType                                                                                         Ali
Microsoft.DBforPostgreSQL         servers/databases                                                                                    {M…
Microsoft.DBforPostgreSQL         servers/administrators                                                                               {M…
Microsoft.Devices                 IotHubs                                                                                              {M…
Microsoft.Devices                 ProvisioningServices                                                                                 {M…
Microsoft.Devices                 IotHubs/certificates                                                                                 {M…
Microsoft.Devices                 iotHubs/privateEndpointConnections                                                                   {M…
Microsoft.Devices                 provisioningServices/certificates                                                                    {M…
Microsoft.Devices                 provisioningServices/privateEndpointConnections                                                      {M…
Microsoft.DevSpaces               controllers                                                                                          {M…
Microsoft.DevTestLab              labs                                                                                                 {M…
Microsoft.DevTestLab              schedules                                                                                            {M…
Microsoft.DevTestLab              labs/virtualMachines                                                                                 {M…
Microsoft.DevTestLab              labs/artifactSources                                                                                 {M…
Microsoft.DevTestLab              labs/costs                                                                                           {M…
Microsoft.DevTestLab              labs/customImages                                                                                    {M…
Microsoft.DevTestLab              labs/formulas                                                                                        {M…
Microsoft.DevTestLab              labs/notificationChannels                                                                            {M…
Microsoft.DevTestLab              labs/policySets/policies                                                                             {M…
Microsoft.DevTestLab              labs/schedules                                                                                       {M…
Microsoft.DevTestLab              labs/users                                                                                           {M…
Microsoft.DevTestLab              labs/users/disks                                                                                     {M…
Microsoft.DevTestLab              labs/users/environments                                                                              {M…
Microsoft.DevTestLab              labs/users/secrets                                                                                   {M…
Microsoft.DevTestLab              labs/users/serviceFabrics                                                                            {M…
Microsoft.DevTestLab              labs/users/serviceFabrics/schedules                                                                  {M…
Microsoft.DevTestLab              labs/virtualMachines/schedules                                                                       {M…
Microsoft.DevTestLab              labs/virtualNetworks                                                                                 {M…
Microsoft.DigitalTwins            digitalTwinsInstances                                                                                {M…
Microsoft.DigitalTwins            digitalTwinsInstances/endpoints                                                                      {M…
Microsoft.DocumentDB              databaseAccounts                                                                                     {M…
Microsoft.DocumentDB              databaseAccounts/cassandraKeyspaces                                                                  {M…
Microsoft.DocumentDB              databaseAccounts/cassandraKeyspaces/tables                                                           {M…
Microsoft.DocumentDB              databaseAccounts/cassandraKeyspaces/tables/throughputSettings                                        {M…
Microsoft.DocumentDB              databaseAccounts/cassandraKeyspaces/throughputSettings                                               {M…
Microsoft.DocumentDB              databaseAccounts/gremlinDatabases                                                                    {M…
Microsoft.DocumentDB              databaseAccounts/gremlinDatabases/graphs                                                             {M…
Microsoft.DocumentDB              databaseAccounts/gremlinDatabases/graphs/throughputSettings                                          {M…
Microsoft.DocumentDB              databaseAccounts/gremlinDatabases/throughputSettings                                                 {M…
Microsoft.DocumentDB              databaseAccounts/mongodbDatabases                                                                    {M…
Microsoft.DocumentDB              databaseAccounts/mongodbDatabases/collections                                                        {M…
Microsoft.DocumentDB              databaseAccounts/mongodbDatabases/collections/throughputSettings                                     {M…
Microsoft.DocumentDB              databaseAccounts/mongodbDatabases/throughputSettings                                                 {M…
Microsoft.DocumentDB              databaseAccounts/privateEndpointConnections                                                          {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases                                                                        {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases/containers                                                             {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases/containers/storedProcedures                                            {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases/containers/throughputSettings                                          {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases/containers/triggers                                                    {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases/containers/userDefinedFunctions                                        {M…
Microsoft.DocumentDB              databaseAccounts/sqlDatabases/throughputSettings                                                     {M…
Microsoft.DocumentDB              databaseAccounts/tables                                                                              {M…
Microsoft.DocumentDB              databaseAccounts/tables/throughputSettings                                                           {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases                                                                      {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/collections                                                          {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/collections/settings                                                 {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/containers                                                           {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/containers/settings                                                  {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/graphs                                                               {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/graphs/settings                                                      {M…
Microsoft.DocumentDB              databaseAccounts/apis/databases/settings                                                             {M…
Microsoft.DocumentDB              databaseAccounts/apis/keyspaces                                                                      {M…
