"Namespace","ResourceType","Locations","Aliases","ApiVersions"
"Microsoft.ApiManagement","service/namedValues","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/certificates","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.ApiManagement","service/tenant","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppConfiguration","configurationStores","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppConfiguration","configurationStores/keyValues","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppConfiguration","configurationStores/privateEndpointConnections","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/apps","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/apps/deployments","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/apps/bindings","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/apps/domains","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/certificates","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/configServers","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.AppPlatform","Spring/monitoringSettings","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Attestation","attestationProviders/privateEndpointConnections","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","roleAssignments","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","roleDefinitions","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","locks","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","policyDefinitions","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","policySetDefinitions","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","policyAssignments","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Authorization","policyExemptions","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automanage","configurationProfileAssignments","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automation","automationAccounts","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automation","automationAccounts/runbooks","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automation","automationAccounts/configurations","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
"Microsoft.Automation","automationAccounts/webhooks","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[Microsoft.Azure.Management.ResourceManager.Models.Alias]","System.Collections.Generic.List`1[System.String]"
